Year,Total tax revenue (All India) (A+C) – Direct ,Total tax revenue (All India) (A+C) – Indirect ,Total tax revenue (All India) (A+C) – Total ,Central taxes (gross) (A) – Direct ,Central taxes (gross) (A) – Indirect ,Central taxes (gross) (A) – Total ,States’ share in central taxes (B) – Direct ,States’ share in central taxes (B) – Indirect ,States’ share in central taxes (B) – Total,Central taxes (net) (A-B) – Direct ,Central taxes (net) (A-B) – Indirect ,Central taxes (net) (A-B) – Total ,States’ own taxes (C) – Direct ,States’ own taxes (C) – Indirect ,States’ own taxes (C) – Total ,States’ tax revenue (B+C) – Direct ,States’ tax revenue (B+C) – Indirect ,States’ tax revenue (B+C) – Total
 1950-51 ,231,396,627,176,229,405,48,- ,48,128,229,357,55,167,222,103,167,270
 1951-52 ,244,495,739,190,322,512,53,- ,53,137,322,459,54,173,227,107,173,280
 1952-53 ,252,426,678,186,259,445,56,17,73,130,242,372,66,167,233,122,184,306
 1953-54 ,242,430,672,166,254,420,58,15,73,108,239,347,76,176,252,134,191,325
 1954-55 ,240,480,720,161,294,455,57,14,71,104,280,384,79,186,265,136,200,336
 1955-56 ,259,509,768,171,314,485,57,17,74,114,297,411,88,195,283,145,212,357
 1956-57 ,288,602,890,194,376,570,51,27,78,143,349,492,94,226,320,145,253,398
 1957-58 ,327,718,1045,230,462,692,76,40,116,154,422,576,97,256,353,173,296,469
 1958-59 ,344,745,1089,238,463,701,75,73,148,163,390,553,106,282,388,181,355,536
 1959-60 ,378,838,1216,269,525,794,79,73,152,190,452,642,109,313,422,188,386,574
 1960-61 ,402,948,1350,292,603,895,90,75,165,202,528,730,110,345,455,200,420,620
 1961-62 ,449,1094,1543,337,717,1054,98,81,179,239,636,875,112,377,489,210,458,668
 1962-63 ,560,1305,1865,423,862,1285,99,125,224,324,737,1061,137,443,580,236,568,804
 1963-64 ,693,1632,2325,550,1084,1634,124,136,260,426,948,1374,143,548,691,267,684,951
 1964-65 ,743,1856,2599,600,1221,1821,131,127,258,469,1094,1563,143,635,778,274,762,1036
 1965-66 ,734,2188,2922,598,1463,2061,130,146,276,468,1317,1785,136,725,861,266,871,1137
 1966-67 ,767,2494,3261,657,1650,2307,142,231,373,515,1419,1934,110,844,954,252,1075,1327
 1967-68 ,780,2676,3456,655,1698,2353,181,235,416,474,1463,1937,125,978,1103,306,1213,1519
 1968-69 ,840,2919,3759,698,1812,2510,200,291,491,498,1521,2019,142,1107,1249,342,1398,1740
 1969-70 ,963,3237,4200,826,1996,2822,300,321,621,526,1675,2201,137,1241,1378,437,1562,1999
 1970-71 ,1009,3743,4752,869,2337,3206,365,390,755,504,1947,2451,140,1406,1546,505,1796,2301
 1971-72 ,1171,4404,5575,1047,2826,3873,470,475,945,577,2351,2928,124,1578,1702,594,2053,2647
 1972-73 ,1346,5090,6436,1233,3272,4505,495,567,1062,738,2705,3443,113,1818,1931,608,2385,2993
 1973 74 ,1552,5837,7389,1375,3695,5070,539,631,1170,836,3064,3900,177,2142,2319,716,2773,3489
 1974-75 ,1834,7389,9223,1650,4672,6322,522,703,1225,1128,3969,5097,184,2717,2901,706,3420,4126
 1975-76 ,2493,8689,11182,2205,5404,7609,742,857,1599,1463,4547,6010,288,3285,3573,1030,4142,5172
 1976-77 ,2585,9747,12332,2328,5943,8271,662,1028,1690,1666,4915,6581,257,3804,4061,919,4832,5751
 1977-78 ,2680,10557,13237,2405,6453,8858,685,1113,1798,1720,5340,7060,275,4104,4379,960,5217,6177
 1978-79 ,2851,12677,15528,2528,7997,10525,717,1240,1957,1811,6757,8568,323,4680,5003,1040,5920,6960
 1979-80 ,3096,14587,17683,2818,9156,11974,876,2530,3406,1942,6626,8568,278,5431,5709,1154,7961,9115
 1980-81 ,3268,16576,19844,2997,10182,13179,1014,2777,3791,1983,7405,9388,271,6394,6665,1285,9171,10456
 1981-82 ,4133,20009,24142,3786,12061,15847,1034,3240,4274,2752,8821,11573,347,7948,8295,1381,11188,12569
 1982-83 ,4492,22750,27242,4139,13557,17696,1148,3492,4640,2991,10065,13056,353,9193,9546,1501,12685,14186
 1983-84 ,4907,26618,31525,4498,16223,20721,1188,4057,5245,3310,12166,15476,409,10395,10804,1597,14452,16049
 1984-85 ,5330,30484,35814,4798,18673,23471,1252,4525,5777,3546,14148,17694,532,11811,12343,1784,16336,18120
 1985-86 ,6252,37015,43267,5620,23050,28670,1865,5625,7490,3755,17425,21180,632,13965,14597,2497,19590,22087
 1986-87 ,6889,42650,49539,6236,26602,32838,2170,6306,8476,4066,20296,24362,653,16048,16701,2823,22354,25177
 1987-88 ,7483,49493,56976,6752,30913,37665,2595,7002,9597,4157,23911,28068,731,18580,19311,3326,25582,28908
 1988-89 ,9758,57168,66926,8830,35644,44474,2750,7919,10669,6080,27725,33805,928,21524,22452,3678,29443,33121
 1989-90 ,11165,66528,77693,10003,41633,51636,3922,9310,13232,6081,32323,38404,1162,24895,26057,5084,34205,39289
 1990-91 ,12260,75462,87722,11030,46547,57577,4121,10414,14535,6909,36133,43042,1230,28915,30145,5351,39329,44680
 1991-92 ,16657,86541,103198,15353,52008,67361,5104,12093,17197,10249,39915,50164,1304,34533,35837,6408,46626,53034
 1992-93 ,19387,94779,114166,18140,56496,74636,6057,14465,20522,12083,42031,54114,1247,38283,39530,7304,52748,60052
 1993-94 ,21713,100248,121961,20299,55443,75742,7767,14473,22240,12532,40970,53502,1414,44805,46219,9181,59278,68459
 1994-95 ,28878,118971,147849,26973,65324,92297,8560,16283,24843,18413,49041,67454,1905,53647,55552,10465,69930,80395
 1995-96 ,35777,139482,175259,33564,77660,111224,11274,18011,29285,22290,59649,81939,2213,61822,64035,13487,79833,93320
 1996-97 ,41061,159995,201056,38898,90864,129762,13516,21545,35061,25382,69319,94701,2163,69131,71294,15679,90676,106355
 1997-98 ,50538,170121,220659,48282,90938,139220,21102,22446,43548,27180,68492,95672,2256,79183,81439,23358,101629,124987
 1998-99 ,49119,183898,233017,46601,97196,143797,14480,24665,39145,32121,72531,104652,2518,86702,89220,16998,111367,128365
 1999-2000 ,60864,213719,274583,57960,113792,171752,16523,26958,43481,41437,86834,128271,2904,99927,102831,19427,126885,146312
 2000-01 ,71762,233558,305322,68305,120298,188605,18655,33290,51945,49652,87008,136660,3457,113260,116717,22112,146550,168662
 2001-02 ,73109,241426,314535,69198,117862,187060,21492,31906,53398,47705,85957,133662,3911,123564,127475,25403,155470,180873
 2002-03 ,87365,268912,356277,83363,132542,215905,21473,34649,56122,61890,97893,159783,4002,136370,140372,25475,171019,196494
 2003-04 ,109546,304538,414083,105091,149257,254347,28492,38874,67366,76599,110382,186981,4455,155281,159736,32947,194155,227102
 2004-05 ,137093,357277,494370,132183,172774,304957,36828,43331,80159,95355,129443,224798,4910,184503,189413,41738,227834,269572
 2005-06 ,167635,420053,587688,162337,203814,366151,44511,51376,95887,117826,152438,270264,5298,216239,221537,49809,267615,317424
 2006-07 ,231376,505331,736707,225045,248467,473512,60454,61876,122331,164591,186591,351181,6331,256864,263195,66785,318740,385526
 2007-08 ,318839,551490,870329,312220,280927,593147,80650,72950,153600,231570,207977,439547,6619,270563,277182,87269,343513,430782
 2008-09 ,327981,587469,915450,319892,285406,605298,85674,76305,161979,234218,209101,443319,8089,302063,310152,93763,378368,472131
 2009-10 ,376995,623849,1000844,367595,256932,624527,105911,62081,167992,261684,194851,456536,9400,366917,376316,115311,428997,544308
 2010-11 ,450822,820843,1271665,438515,354556,793072,131394,91809,223203,307121,262747,569869,12307,466287,478594,143701,558096,701797
 2011-12 ,501395,966496,1467891,488160,400738,888898,152270,107142,259412,335890,293596,629486,13235,565758,578993,165505,672899,838405
 2012-13 ,568717,1147400,1716117,554063,482172,1036234,162073,132284,294357,391990,349888,741877,14655,665228,679882,176728,797512,974239
 2013-14 (RE) ,646907,1293539,1940446,630830,528075,1158906,186103,136777,322880,444727,391298,836026,16077,765464,781541,202180,902241,1104421
2013-14,648966,1230176,1879142,633578,505155,1138733,182714,140165,322879,450864,364990,815854,15388,725021,740409,198102,865186,1063288
2014-15 (BE) ,748643,1489472,2238115,730240,634285,1364524,215254,176467,391721,514986,457817,972803,18403,855187,873591,233657,1031654,1265312
2014-15 (RE),716773,1381400,2098173,699767,551624,1251391,206375,136553,342928,493392,415071,908463,17006,829776,846782,223381,966329,1189710
2015-16 (BE),813353,1605732,2419085,791579,657912,1449491,302799,226849,529648,488780,431063,919843,21774,947820,969594,324573,1174669,1499242
